time,level_type,pressure_hPa,height_msl_m,height_agl_m,temperature_C,usable_for_inversion
2026-08-30 16:00:00+02:00,pressure,1000.0,119.0,17.0,25.6,True
2026-08-30 16:00:00+02:00,pressure,975.0,340.0,238.0,23.1,True
2026-08-30 16:00:00+02:00,pressure,950.0,565.0,463.0,20.8,True
2026-08-30 16:00:00+02:00,pressure,925.0,793.4,691.4,18.5,True
2026-08-30 16:00:00+02:00,pressure,900.0,1027.01,925.01,16.2,True
2026-08-30 16:00:00+02:00,pressure,850.0,1511.0,1409.0,11.7,True
2026-08-30 17:00:00+02:00,surface,,104.0,2.0,25.8,True
2026-08-30 17:00:00+02:00,pressure,1000.0,115.0,13.0,25.5,True
2026-08-30 17:00:00+02:00,pressure,975.0,337.0,235.0,23.2,True
2026-08-30 17:00:00+02:00,pressure,950.0,562.0,460.0,21.0,True
2026-08-30 17:00:00+02:00,pressure,925.0,790.63,688.63,18.7,True
2026-08-30 17:00:00+02:00,pressure,900.0,1024.49,922.49,16.5,True
2026-08-30 17:00:00+02:00,pressure,850.0,1509.0,1407.0,11.9,True
2026-08-30 18:00:00+02:00,surface,,104.0,2.0,25.1,True
2026-08-30 18:00:00+02:00,pressure,1000.0,115.0,13.0,24.9,True
2026-08-30 18:00:00+02:00,pressure,975.0,337.0,235.0,22.8,True
2026-08-30 18:00:00+02:00,pressure,950.0,562.0,460.0,20.5,True
2026-08-30 18:00:00+02:00,pressure,925.0,790.4,688.4,18.2,True
2026-08-30 18:00:00+02:00,pressure,900.0,1024.01,922.01,16.0,True
2026-08-30 18:00:00+02:00,pressure,850.0,1508.0,1406.0,11.6,True
2026-08-30 19:00:00+02:00,surface,,104.0,2.0,24.7,True
2026-08-30 19:00:00+02:00,pressure,1000.0,114.0,12.0,24.7,True
2026-08-30 19:00:00+02:00,pressure,975.0,335.0,233.0,22.6,True
2026-08-30 19:00:00+02:00,pressure,950.0,561.0,459.0,20.5,True
2026-08-30 19:00:00+02:00,pressure,925.0,789.4,687.4,18.2,True
2026-08-30 19:00:00+02:00,pressure,900.0,1023.01,921.01,16.0,True
2026-08-30 19:00:00+02:00,pressure,850.0,1507.0,1405.0,11.6,True
2026-08-30 20:00:00+02:00,surface,,104.0,2.0,23.3,True
2026-08-30 20:00:00+02:00,pressure,1000.0,113.0,11.0,23.6,True
2026-08-30 20:00:00+02:00,pressure,975.0,334.0,232.0,22.3,True
2026-08-30 20:00:00+02:00,pressure,950.0,559.0,457.0,20.2,True
2026-08-30 20:00:00+02:00,pressure,925.0,787.17,685.17,18.0,True
2026-08-30 20:00:00+02:00,pressure,900.0,1020.53,918.53,15.9,True
2026-08-30 20:00:00+02:00,pressure,850.0,1504.0,1402.0,11.6,True
2026-08-30 21:00:00+02:00,surface,,104.0,2.0,22.4,True
2026-08-30 21:00:00+02:00,pressure,1000.0,115.0,13.0,22.9,True
2026-08-30 21:00:00+02:00,pressure,975.0,336.0,234.0,22.0,True
2026-08-30 21:00:00+02:00,pressure,950.0,560.0,458.0,19.9,True
2026-08-30 21:00:00+02:00,pressure,925.0,788.4,686.4,17.9,True
2026-08-30 21:00:00+02:00,pressure,900.0,1022.01,920.01,15.9,True
2026-08-30 21:00:00+02:00,pressure,850.0,1506.0,1404.0,11.8,True
2026-08-30 22:00:00+02:00,surface,,104.0,2.0,21.5,True
2026-08-30 22:00:00+02:00,pressure,1000.0,117.0,15.0,22.0,True
2026-08-30 22:00:00+02:00,pressure,975.0,337.0,235.0,21.8,True
2026-08-30 22:00:00+02:00,pressure,950.0,562.0,460.0,19.7,True
2026-08-30 22:00:00+02:00,pressure,925.0,789.93,687.93,17.8,True
2026-08-30 22:00:00+02:00,pressure,900.0,1023.06,921.06,15.8,True
2026-08-30 22:00:00+02:00,pressure,850.0,1506.0,1404.0,11.8,True
2026-08-30 23:00:00+02:00,surface,,104.0,2.0,21.1,True
2026-08-30 23:00:00+02:00,pressure,1000.0,117.0,15.0,21.4,True
2026-08-30 23:00:00+02:00,pressure,975.0,336.0,234.0,21.2,True
2026-08-30 23:00:00+02:00,pressure,950.0,561.0,459.0,19.5,True
2026-08-30 23:00:00+02:00,pressure,925.0,788.93,686.93,17.4,True
2026-08-30 23:00:00+02:00,pressure,900.0,1022.05,920.05,15.4,True
2026-08-30 23:00:00+02:00,pressure,850.0,1505.0,1403.0,11.2,True
