time,kit_mast_index,kit_max_positive_gradient_K_per_100m,kit_positive_deltaT_K,kit_inversion_base_m,kit_inversion_top_m,kit_inversion_depth_m,kit_inversion_deltaT_K,kit_source_id,kit_profile_levels,kit_missing_levels,kit_temperature_2m_C,kit_temperature_10m_C,kit_temperature_30m_C,kit_temperature_60m_C,kit_temperature_100m_C,kit_temperature_130m_C,kit_temperature_160m_C
2026-08-30 12:30:00+02:00,1.329871967223379,2.757070515933924,0.2205656412747139,2.0,10.0,8.0,0.2205656412747139,p4038505,7,200,25.22769582944113,25.448261470715845,24.316094659484826,23.298706873463967,22.57471202177466,22.030959222460886,21.704678347923267
2026-08-30 13:00:00+02:00,2.446773872170311,6.877010103193326,0.5501608082554661,2.0,10.0,8.0,0.5501608082554661,p4134507,7,200,25.31023819029237,25.86039899854784,24.068414255798302,23.09150894306949,22.48870240458353,22.021587871705684,21.963494417289745
2026-08-30 13:10:00+02:00,2.413404451335452,6.251333462539721,0.5001066770031777,2.0,10.0,8.0,0.5001066770031777,p4108474,7,200,25.515330679431933,26.01543735643511,24.47997080340572,23.49968131945801,22.93016624627722,22.44687306605633,22.33974470006305
2026-08-30 13:20:00+02:00,2.491943904146801,7.723948202752506,0.6179158562202005,2.0,10.0,8.0,0.6179158562202005,p4027564,7,200,25.338193153739933,25.956109009960134,24.32960047663876,23.309740991139734,22.680410822275977,22.17008569491577,22.077854463325497
2026-08-30 13:30:00+02:00,2.359128489312873,5.233659174616356,0.4186927339693085,2.0,10.0,8.0,0.4186927339693085,p4038488,7,200,25.541069779186262,25.95976251315557,24.258168940093963,23.343994038289384,22.68395948857524,22.214318978494187,22.12871349955747
2026-08-30 14:00:00+02:00,2.392044706620884,5.850838249141566,0.4680670599313252,2.0,10.0,8.0,0.4680670599313252,p4134490,7,200,25.747335837959334,26.21540289789066,24.58320531768797,23.697315844724045,23.04712482648543,22.59758264414753,22.563019780759152
2026-08-30 14:10:00+02:00,0.4095235719003706,0.7268902321331705,0.0581512185706536,2.0,10.0,8.0,0.0581512185706536,p4177802,7,200,26.28826327907947,26.346414497650123,24.99275598455805,24.0313786515656,23.4068825928968,22.906216666969044,22.79619600834909
2026-08-30 14:20:00+02:00,2.0551411014354084,4.356928900225165,0.3485543120180132,2.0,10.0,8.0,0.3485543120180132,p4027546,7,200,26.230085220153843,26.578639532171856,24.91935090965267,23.996141339477564,23.342170723981607,22.931609522003143,22.833025284599323
2026-08-30 14:30:00+02:00,0.6684762196066985,1.2981093079559525,0.1038487446364762,2.0,10.0,8.0,0.1038487446364762,p4038470,7,200,26.346625404926325,26.4504741495628,25.05851208737181,24.141526314374296,23.30961009135115,22.93383013724128,22.82288539281209
2026-08-30 14:50:00+02:00,0.7991219959173634,1.5862985204059488,0.2449700954533646,2.0,10.0,8.0,0.1269038816324759,p4213585,7,200,26.43216850442124,26.55907238605372,25.04458634202572,24.22715553440094,23.646618233097808,23.263061647580955,23.381127861401843
