time,kit_mast_index,kit_max_positive_gradient_K_per_100m,kit_positive_deltaT_K,kit_inversion_base_m,kit_inversion_top_m,kit_inversion_depth_m,kit_inversion_deltaT_K,kit_source_id,kit_profile_levels,kit_temperature_2m_C,kit_temperature_10m_C,kit_temperature_30m_C,kit_temperature_60m_C,kit_temperature_100m_C,kit_temperature_130m_C,kit_temperature_160m_C,kit_temperature_200m_C
2026-08-25 12:00:00+02:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,p955084,8,16.19236726943592,15.790227326848331,15.28198331692501,15.091033158747392,14.753686138499706,14.420591685901416,14.273877688011169,13.79116557553484
2026-08-25 12:20:00+02:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,p1061886,8,16.083814758766213,15.802122721221895,15.493117913009607,15.336646760843925,14.852637643089714,14.526475307270548,14.35164870628612,13.7716613233986
2026-08-25 12:30:00+02:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,p1076205,8,16.1950152376633,15.900225323502822,15.516653558547963,15.27600580135857,14.839511669149948,14.529406328441674,14.368223858154272,13.819101072826392
2026-08-25 12:40:00+02:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,p943286,8,16.176836676075013,15.786356722666396,15.4894524109802,15.28002476883954,14.89766851953586,14.558254362099824,14.387829605796808,13.832447368865974
2026-08-25 13:00:00+02:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,p955067,8,16.096183297508258,15.750371261306755,15.293048950759848,15.122816656873075,14.78497251019657,14.50369707566233,14.389915943290726,13.960072642177607
2026-08-25 13:20:00+02:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,p1061869,8,16.218518272453316,16.094664485607144,15.595948082244862,15.369950599693324,14.94344215954741,14.674445973772324,14.511908504056285,14.152465852516176
2026-08-25 13:30:00+02:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,p1076188,8,16.44338721757129,16.353353113384244,15.814813061737038,15.528597275342287,15.03419545192294,14.791288696767587,14.606374536949168,14.04979545044709
2026-08-25 13:40:00+02:00,0.8637892568162087,1.728946890035754,0.1383157512028603,2.0,10.0,8.0,0.1383157512028603,p943268,8,16.727616061348,16.865931812550862,16.097536822616544,15.750808725573222,15.187917360038266,14.976266735638914,14.768819321184798,14.09921240349963
2026-08-25 14:00:00+02:00,1.1025135526815568,2.255544601503434,0.1804435681202747,2.0,10.0,8.0,0.1804435681202747,p955049,8,17.24853597402192,17.428979542142194,16.75059791540522,16.41876255192824,15.769362466151357,15.513717031705417,15.364145565989167,14.679599397953046
2026-08-25 14:20:00+02:00,1.3003928318971578,2.692043011537848,0.2153634409230278,2.0,10.0,8.0,0.2153634409230278,p1061852,8,17.50443106417467,17.7197945050977,17.024199917297345,16.66329743546043,16.078923192856756,15.868433557133676,15.758110791763295,14.98554833316423
